# q=4.941618e-01 chizA=0.000000e+00 chizB=0.000000e+00 f0=2.000000e+01
# M=5.015448e+01 LambdaA=[0.000000e+00,0.000000e+00,0.000000e+00] LambdaBl2=[0.000000e+00,0.000000e+00,0.000000e+00]
# D=1.000000e+02 phi=-4.950961e-01 iota=0.000000e+00
# t:0 real:1 imag:2 Ampli:3 Phase:4
1.269531250e-02 7.482685000040e-22 1.066479288581e-21 0.000000000000e+00 0.000000000000e+00
1.293945312e-02 7.113698937752e-22 1.095154547267e-21 0.000000000000e+00 0.000000000000e+00
1.318359375e-02 6.732925692054e-22 1.122677580791e-21 0.000000000000e+00 0.000000000000e+00
1.342773438e-02 6.340644839963e-22 1.148999524399e-21 0.000000000000e+00 0.000000000000e+00
1.367187500e-02 5.937154870981e-22 1.174071663024e-21 0.000000000000e+00 0.000000000000e+00
1.391601562e-02 5.522772993945e-22 1.197845519218e-21 0.000000000000e+00 0.000000000000e+00
1.416015625e-02 5.097835433538e-22 1.220272907053e-21 0.000000000000e+00 0.000000000000e+00
1.440429687e-02 4.662698422144e-22 1.241305960316e-21 0.000000000000e+00 0.000000000000e+00
1.464843750e-02 4.217738625770e-22 1.260897199840e-21 0.000000000000e+00 0.000000000000e+00
1.489257812e-02 3.763353526788e-22 1.278999606379e-21 0.000000000000e+00 0.000000000000e+00
1.513671875e-02 3.299961792432e-22 1.295566697329e-21 0.000000000000e+00 0.000000000000e+00
1.538085938e-02 2.828003626912e-22 1.310552607375e-21 0.000000000000e+00 0.000000000000e+00
1.562500000e-02 2.347941104840e-22 1.323912173118e-21 0.000000000000e+00 0.000000000000e+00
1.586914062e-02 1.860258240399e-22 1.335601019410e-21 0.000000000000e+00 0.000000000000e+00
1.611328125e-02 1.365460417038e-22 1.345575636145e-21 0.000000000000e+00 0.000000000000e+00
1.635742188e-02 8.640754568703e-23 1.353793468116e-21 0.000000000000e+00 0.000000000000e+00
1.660156250e-02 3.566541905205e-23 1.360213016604e-21 0.000000000000e+00 0.000000000000e+00
1.684570312e-02 -1.562293175936e-23 1.364793944576e-21 0.000000000000e+00 0.000000000000e+00
1.708984375e-02 -6.739775781014e-23 1.367497186225e-21 0.000000000000e+00 0.000000000000e+00
1.733398437e-02 -1.195969522754e-22 1.368285060846e-21 0.000000000000e+00 0.000000000000e+00
1.757812500e-02 -1.721560390970e-22 1.367121391050e-21 0.000000000000e+00 0.000000000000e+00
1.782226562e-02 -2.250081660539e-22 1.363971625238e-21 0.000000000000e+00 0.000000000000e+00
1.806640625e-02 -2.780841343478e-22 1.358802934611e-21 0.000000000000e+00 0.000000000000e+00
1.831054688e-02 -3.313124539044e-22 1.351584279868e-21 0.000000000000e+00 0.000000000000e+00
1.855468750e-02 -3.846192652258e-22 1.342286605322e-21 0.000000000000e+00 0.000000000000e+00
1.879882812e-02 -4.379283339822e-22 1.330882993404e-21 0.000000000000e+00 0.000000000000e+00
1.904296875e-02 -4.911610692191e-22 1.317348809281e-21 0.000000000000e+00 0.000000000000e+00
1.928710938e-02 -5.442365482501e-22 1.301661849378e-21 0.000000000000e+00 0.000000000000e+00
1.953125000e-02 -5.970715486539e-22 1.283802493651e-21 0.000000000000e+00 0.000000000000e+00
1.977539062e-02 -6.495805877974e-22 1.263753861406e-21 0.000000000000e+00 0.000000000000e+00
2.001953125e-02 -7.016759703162e-22 1.241501970436e-21 0.000000000000e+00 0.000000000000e+00
2.026367188e-02 -7.532678434982e-22 1.217035875904e-21 0.000000000000e+00 0.000000000000e+00
2.050781250e-02 -8.042642493005e-22 1.190347697428e-21 0.000000000000e+00 0.000000000000e+00
2.075195312e-02 -8.545711763180e-22 1.161432881435e-21 0.000000000000e+00 0.000000000000e+00
2.099609375e-02 -9.040926394524e-22 1.130290442261e-21 0.000000000000e+00 0.000000000000e+00
2.124023437e-02 -9.527307738182e-22 1.096923137514e-21 0.000000000000e+00 0.000000000000e+00
2.148437500e-02 -1.000385939553e-21 1.061337644567e-21 0.000000000000e+00 0.000000000000e+00
2.172851562e-02 -1.046956837973e-21 1.023544737914e-21 0.000000000000e+00 0.000000000000e+00
2.197265625e-02 -1.092340639524e-21 9.835594668980e-22 0.000000000000e+00 0.000000000000e+00
2.221679688e-02 -1.136433123951e-21 9.414013332190e-22 0.000000000000e+00 0.000000000000e+00
2.246093750e-02 -1.179128833097e-21 8.970944676233e-22 0.000000000000e+00 0.000000000000e+00
2.270507812e-02 -1.220321186622e-21 8.506677620708e-22 0.000000000000e+00 0.000000000000e+00
2.294921875e-02 -1.259902535729e-21 8.021549611454e-22 0.000000000000e+00 0.000000000000e+00
2.319335938e-02 -1.297764468876e-21 7.515949691602e-22 0.000000000000e+00 0.000000000000e+00
2.343750000e-02 -1.333798053888e-21 6.990320514611e-22 0.000000000000e+00 0.000000000000e+00
2.368164062e-02 -1.367894064260e-21 6.445159998504e-22 0.000000000000e+00 0.000000000000e+00
2.392578125e-02 -1.399943220605e-21 5.881022922434e-22 0.000000000000e+00 0.000000000000e+00
2.416992187e-02 -1.429836447434e-21 5.298522455775e-22 0.000000000000e+00 0.000000000000e+00
2.441406250e-02 -1.457465145490e-21 4.698331609461e-22 0.000000000000e+00 0.000000000000e+00
2.465820312e-02 -1.482721429148e-21 4.081184609708e-22 0.000000000000e+00 0.000000000000e+00
2.490234375e-02 -1.505498183693e-21 3.447878437796e-22 0.000000000000e+00 0.000000000000e+00
2.514648437e-02 -1.525689579563e-21 2.799274439313e-22 0.000000000000e+00 0.000000000000e+00
2.539062500e-02 -1.543191525171e-21 2.136299427232e-22 0.000000000000e+00 0.000000000000e+00
